gun_id,range_m,pen_mm,angle_deg,source
sherman76_m62_apc,2000,76,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 76mm M1 APCBC"
t70_45l46_apbc,500,51,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 45mm AP"
t70_45l46_apbc,1000,36,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 45mm AP"
panther_75l70_apcbc,100,138,30,"Encyclopedia of German Tanks of WWII"
panther_75l70_apcbc,500,124,30,"Encyclopedia of German Tanks of WWII"
panther_75l70_apcbc,1000,111,30,"Encyclopedia of German Tanks of WWII"
panther_75l70_apcbc,1500,99,30,"Encyclopedia of German Tanks of WWII"
panther_75l70_apcbc,2000,89,30,"Encyclopedia of German Tanks of WWII"
sixpdr_57l50_apcbc,100,115,0,"Bird & Livingston 2001 pp.60/62, via Wikipedia 'Ordnance QF 6-pounder' -- versus vertical armour"
sixpdr_57l50_apcbc,500,103,0,"Bird & Livingston 2001 pp.60/62, via Wikipedia 'Ordnance QF 6-pounder' -- versus vertical armour"
sixpdr_57l50_apcbc,1000,90,0,"Bird & Livingston 2001 pp.60/62, via Wikipedia 'Ordnance QF 6-pounder' -- versus vertical armour"
sixpdr_57l50_apcbc,1500,78,0,"Bird & Livingston 2001 pp.60/62, via Wikipedia 'Ordnance QF 6-pounder' -- versus vertical armour"
sixpdr_57l50_apcbc,2000,68,0,"Bird & Livingston 2001 pp.60/62, via Wikipedia 'Ordnance QF 6-pounder' -- versus vertical armour"
seventeenpdr_76l55_apcbc,100,174,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,250,170,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,500,163,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,750,156,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,1000,150,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,1250,143,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,1500,137,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,1750,132,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,2000,126,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,2500,116,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apcbc,3000,107,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,100,275,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,250,268,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,500,256,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,750,244,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,1000,233,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,1250,223,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,1500,213,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,1750,204,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,2000,194,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,2500,178,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
seventeenpdr_76l55_apds,3000,162,0,"Bird & Livingston 2001 p.60, via Wikipedia 'Ordnance QF 17-pounder' -- calculated penetration vs RHA"
pak40_75l46_apcbc,100,108,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- corroborated within 1-2mm by Panzerworld citing Geschossringbuch Band I"
pak40_75l46_apcbc,500,96,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- corroborated (exact match) by Panzerworld"
pak40_75l46_apcbc,1000,80,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- corroborated (exact match) by Panzerworld"
pak40_75l46_apcbc,1500,64,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- corroborated within 1mm by Panzerworld"
pak40_75l46_apcr,100,143,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- PzGr 40 (APCR) table"
pak40_75l46_apcr,500,120,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- PzGr 40 (APCR) table"
pak40_75l46_apcr,1000,97,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- PzGr 40 (APCR) table"
pak40_75l46_apcr,1500,77,30,"Nachrichtenblatt zur Panzerbeschusstafel 7.5cm Pak 40 L/46 (Nov 1942), via Wikipedia '7.5 cm Pak 40' -- PzGr 40 (APCR) table"
usm1_57l50_ap,100,135,0,"Tank Archives ('6-pounder, American Style', 28 Jun 2019), translating Soviet wartime testing/evaluation of Lend-Lease equipment -- AP Shot M70 vs vertical armour ('at 90 degrees', this project's own established convention for that phrasing -- see counters/toe/british_vehicles_1943.md -- meaning 0deg obliquity, not independently re-confirmed for this specific source but consistent with every other period source using this phrasing in this project so far"
usm1_57l50_ap,500,112,0,"Tank Archives, same source and convention as the 100m row"
usm1_57l50_ap,1000,89,0,"Tank Archives, same source and convention as the 100m row"
usm1_57l50_ap,1500,70,0,"Tank Archives, same source and convention as the 100m row"
usm1_57l50_ap,2000,55,0,"Tank Archives, same source and convention as the 100m row"
