vehicle,profile,crew_quality,range_m,mobility_pct,gun_pct,neither_pct,neither_below,mobility_at_or_above
Sherman M4A1 (75mm),Hull,veteran,750,29.3,3.4,67.3,18,18
Sherman M4A1 (75mm),Hull,veteran,1000,28.9,6.7,64.4,17,18
Sherman M4A1 (75mm),Hull,veteran,1500,27.1,11.3,61.6,17,18
Sherman M4A1 (75mm),Hull,veteran,2000,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,veteran,2500,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,regular,100,30.1,1.8,68.1,18,18
Sherman M4A1 (75mm),Hull,regular,250,30.1,1.8,68.1,18,18
Sherman M4A1 (75mm),Hull,regular,500,30.1,1.8,68.1,18,18
Sherman M4A1 (75mm),Hull,regular,750,29.3,3.4,67.3,18,18
Sherman M4A1 (75mm),Hull,regular,1000,28.9,6.7,64.4,17,18
Sherman M4A1 (75mm),Hull,regular,1500,27.1,11.3,61.6,17,18
Sherman M4A1 (75mm),Hull,regular,2000,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,regular,2500,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,green,100,28.9,3.1,67.9,18,18
Sherman M4A1 (75mm),Hull,green,250,28.9,3.1,67.9,18,18
Sherman M4A1 (75mm),Hull,green,500,28.9,3.1,67.9,18,18
Sherman M4A1 (75mm),Hull,green,750,29.3,3.4,67.3,18,18
Sherman M4A1 (75mm),Hull,green,1000,28.9,6.7,64.4,17,18
Sherman M4A1 (75mm),Hull,green,1500,27.1,11.3,61.6,17,18
Sherman M4A1 (75mm),Hull,green,2000,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,green,2500,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,militia,100,27.5,6.4,66.1,18,18
Sherman M4A1 (75mm),Hull,militia,250,27.5,6.4,66.1,18,18
Sherman M4A1 (75mm),Hull,militia,500,27.5,6.4,66.1,18,18
Sherman M4A1 (75mm),Hull,militia,750,27.5,6.4,66.1,18,18
Sherman M4A1 (75mm),Hull,militia,1000,28.9,6.7,64.4,17,18
Sherman M4A1 (75mm),Hull,militia,1500,27.1,11.3,61.6,17,18
Sherman M4A1 (75mm),Hull,militia,2000,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,militia,2500,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Turret,elite,100,0.0,61.4,38.6,14,
Sherman M4A1 (75mm),Turret,elite,250,0.0,61.4,38.6,14,
Sherman M4A1 (75mm),Turret,elite,500,0.0,60.3,39.7,14,
Sherman M4A1 (75mm),Turret,elite,750,0.0,47.3,52.7,16,
Sherman M4A1 (75mm),Turret,elite,1000,0.0,42.2,57.8,16,
Sherman M4A1 (75mm),Turret,elite,1500,0.0,41.0,59.0,17,
Sherman M4A1 (75mm),Turret,elite,2000,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,elite,2500,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,veteran,100,0.0,61.6,38.4,14,
Sherman M4A1 (75mm),Turret,veteran,250,0.0,61.6,38.4,14,
Sherman M4A1 (75mm),Turret,veteran,500,0.0,60.3,39.7,14,
Sherman M4A1 (75mm),Turret,veteran,750,0.0,47.3,52.7,16,
Sherman M4A1 (75mm),Turret,veteran,1000,0.0,42.2,57.8,16,
Sherman M4A1 (75mm),Turret,veteran,1500,0.0,41.0,59.0,17,
Sherman M4A1 (75mm),Turret,veteran,2000,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,veteran,2500,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,regular,100,0.0,53.9,46.1,15,
Sherman M4A1 (75mm),Turret,regular,250,0.0,53.9,46.1,15,
Sherman M4A1 (75mm),Turret,regular,500,0.0,53.9,46.1,15,
Sherman M4A1 (75mm),Turret,regular,750,0.0,47.3,52.7,16,
Sherman M4A1 (75mm),Turret,regular,1000,0.0,42.2,57.8,16,
Sherman M4A1 (75mm),Turret,regular,1500,0.0,41.0,59.0,17,
Sherman M4A1 (75mm),Turret,regular,2000,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,regular,2500,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,green,100,0.0,47.8,52.2,16,
Sherman M4A1 (75mm),Turret,green,250,0.0,47.8,52.2,16,
Sherman M4A1 (75mm),Turret,green,500,0.0,47.8,52.2,16,
Sherman M4A1 (75mm),Turret,green,750,0.0,47.3,52.7,16,
Sherman M4A1 (75mm),Turret,green,1000,0.0,42.2,57.8,16,
Sherman M4A1 (75mm),Turret,green,1500,0.0,41.0,59.0,17,
Sherman M4A1 (75mm),Turret,green,2000,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,green,2500,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,militia,100,0.0,42.4,57.6,16,
Sherman M4A1 (75mm),Turret,militia,250,0.0,42.4,57.6,16,
Sherman M4A1 (75mm),Turret,militia,500,0.0,42.4,57.6,16,
Sherman M4A1 (75mm),Turret,militia,750,0.0,42.4,57.6,16,
Sherman M4A1 (75mm),Turret,militia,1000,0.0,42.2,57.8,16,
Sherman M4A1 (75mm),Turret,militia,1500,0.0,41.0,59.0,17,
Sherman M4A1 (75mm),Turret,militia,2000,0.0,41.1,58.9,17,
Sherman M4A1 (75mm),Turret,militia,2500,0.0,41.1,58.9,17,
