vehicle,profile,arc,av_vs_capped_mm,av_vs_tungsten_mm,av_vs_heat_mm,d_ref_mm,schurzen,face_hardened,rounded_mantlet,notes
Panzer III Ausf M,Turret,Rear,29.7,30.0,30.0,75.0,False,False,False,
Tiger I Ausf E,Hull,Front,102.0,102.8,101.5,75.0,False,False,False,
Tiger I Ausf E,Hull,Side,80.1,80.0,80.0,75.0,False,False,False,"Ch.20 p.88 (confirmed verbatim this session): 'British firing tests against Tiger E armor in North Africa indicated that the 310-330 Brinell side armor resisted penetration with the same resistance as good quality Allied test plate.' No schurzen: Thoma-shield turret skirts were a ~spring-1944 field feature, after this vehicle's 1943 era"
Tiger I Ausf E,Hull,Rear,80.1,80.0,80.0,75.0,False,False,False,"same plate class as side, applying same measured BHN"
Tiger I Ausf E,Turret,Front,143.0,94.6,100.0,75.0,False,False,False,"pre-resolved via Ch.10 mantlet edge-effect table, 76mm-class attacker, combined mantlet+turret-front-bar resistance"
Tiger I Ausf E,Turret,Side,80.1,80.0,80.0,75.0,False,False,False,
Tiger I Ausf E,Turret,Rear,80.1,80.0,80.0,75.0,False,False,False,
Tiger I Ausf E,Hull,Top,24.7,25.0,25.0,75.0,False,False,False,"Hull top (roof+floor, undifferentiated by the source) = 25mm. Jentz & Doyle 1993 pp.8/16, corroborated by Hart 2007 p.17. See counters/toe/vehicle_top_armor_1943.md."
Tiger I Ausf E,Turret,Top,24.7,25.0,25.0,75.0,False,False,False,Turret roof = 25mm pre-March-1944 (thickened to 40mm from March 1944 -- out of era for this 1943-dated vehicle). Same sourcing as Hull Top. See counters/toe/vehicle_top_armor_1943.md.
StuG III Ausf G,Hull,Front,87.1,92.0,85.7,75.0,False,False,False,"casemate -- no turret profile. DECIDED, not face-hardened: Ch.3 p.22 names StuG III among vehicles retaining face-hardened armor late-war, but only names Panther and PzKpfw IVH specifically for 'thicker plates' beyond the base 30-50mm policy bracket -- this 80mm glacis isn't confirmed at that thickness the way PzIV's 85mm driver plate was (a direct worked example). Also considered and rejected: treating this as a layered 50mm-base+30mm-applique composite the way Panzer III's hull front was resolved (design spec S20) -- no source confirms StuG III Ausf G's specific 80mm glacis was built this way (vs. a single thicker rolled/cast plate), and inventing that construction without evidence would be a guess, not a resolution. Final call: leave unflagged until a source specifically addresses StuG III's own glacis construction."
StuG III Ausf G,Hull,Side,23.8,25.2,30.0,75.0,True,True,False,"face_hardened: within the confirmed 30-50mm 1942 policy bracket, and Ch.3 p.22 directly names StuG III among vehicles retaining face-hardened armor late-war"
StuG III Ausf G,Hull,Rear,29.7,30.0,30.0,75.0,False,False,False,
T-34 Model 1943,Hull,Front,93.7,145.8,90.0,75.0,False,False,False,"famous glacis; high-hardness correction genuinely matters here, see spec S7"
T-34 Model 1943,Hull,Side,48.9,65.4,58.7,75.0,False,False,False,
T-34 Model 1943,Hull,Rear,46.7,67.7,56.6,75.0,False,False,False,
T-34 Model 1943,Turret,Front,55.8,71.9,55.3,75.0,False,False,True,original small cast turret -- known weak point
T-34 Model 1943,Turret,Side,37.2,39.8,55.3,75.0,False,False,False,
T-34 Model 1943,Turret,Rear,37.2,39.8,55.3,75.0,False,False,False,
T-34 Model 1943,Hull,Top,12.0,12.2,20.0,75.0,False,False,False,"Hull roof standardized to 20mm by a 1943 Soviet production-simplification order (Tank Archives, 'T-34 Improvements, 1943'), replacing prior 13-16mm sheets -- corroborated by a 1941 armor-trials commission report documenting the earlier ~16mm roof. Turret roof intentionally NOT modeled: the two candidate figures found (20mm vs. 56mm) are too far apart to pick between without a primary tiebreaker. See counters/toe/vehicle_top_armor_1943.md."
T-34/85 (late 1943),Hull,Front,93.7,145.8,90.0,75.0,False,False,False,same hull as 1943 model
T-34/85 (late 1943),Hull,Side,48.9,65.4,58.7,75.0,False,False,False,
T-34/85 (late 1943),Hull,Rear,46.7,67.7,56.6,75.0,False,False,False,
T-34/85 (late 1943),Turret,Front,146.0,171.6,93.2,75.0,False,False,True,"new larger turret -- production era ambiguous, see spec S7 (early 1944 historically; using 1942-43 hardness bracket)"
T-34/85 (late 1943),Turret,Side,73.1,77.1,79.8,75.0,False,False,False,
T-34/85 (late 1943),Turret,Rear,35.2,36.1,52.8,75.0,False,False,False,
KV-1S,Hull,Front,85.2,87.6,82.8,75.0,False,False,False,
KV-1S,Hull,Side,49.7,49.9,60.0,75.0,False,False,False,
KV-1S,Hull,Rear,49.7,49.9,60.0,75.0,False,False,False,
KV-1S,Turret,Front,129.1,154.2,83.3,75.0,False,False,True,
KV-1S,Turret,Side,68.0,68.0,75.0,75.0,False,False,False,
KV-1S,Turret,Rear,68.0,68.0,75.0,75.0,False,False,False,
KV-1S,Hull,Top,20.3,20.5,30.0,75.0,False,False,False,"Removable hull roof panels reduced to 30mm under GOKO Decree #1334ss (23 Feb 1942, archival ref RGASPI 644-1-22), the weight-reduction redesign that produced the KV-1S -- the single strongest primary-source citation in the whole top-armor research pass. See counters/toe/vehicle_top_armor_1943.md."
KV-1S,Turret,Top,16.5,16.6,30.0,75.0,False,False,False,"Turret roof, same GOKO Decree #1334ss as Hull Top. Two uncited hobby sources claim 40mm instead but disagree with each other on which plate; the dated primary decree is preferred. See counters/toe/vehicle_top_armor_1943.md."
SU-85,Hull,Front,75.5,117.6,78.5,75.0,False,False,False,casemate -- no turret profile
SU-85,Hull,Side,48.9,65.4,58.7,75.0,False,False,False,
SU-85,Hull,Rear,46.7,67.7,56.6,75.0,False,False,False,
Sherman M4A1 (75mm),Hull,Front,76.7,109.2,74.8,75.0,False,False,False,cast rounded hull
Sherman M4A1 (75mm),Hull,Side,37.7,38.0,38.0,75.0,False,False,False,
Sherman M4A1 (75mm),Hull,Rear,37.9,39.1,38.6,75.0,False,False,False,
Sherman M4A1 (75mm),Turret,Front,89.0,82.7,89.0,75.0,False,False,False,pre-resolved via M34A1 mount hit-distribution table (Ch.8)
Sherman M4A1 (75mm),Turret,Side,50.8,51.0,51.0,75.0,False,False,False,
Sherman M4A1 (75mm),Turret,Rear,50.8,51.0,51.0,75.0,False,False,False,
Sherman M4A1 (75mm),Hull,Top,15.3,15.5,19.0,75.0,False,False,False,"Hull top, 19.1mm (0.75in) at the front thinning toward ~12.7mm (0.5in) at the rear/engine deck -- R.P. Hunnicutt's Sherman appendix data (via theshermantank.com's retyped spec sheets). Using the thicker front-hull figure as representative; modeled flat/unsloped (vertical_deg=0) per this project's Top-armor convention (Rule 18.2c). Cast, matching this vehicle's cast rounded hull. See counters/toe/vehicle_top_armor_1943.md."
Sherman M4A1 (75mm),Turret,Top,24.7,25.0,25.0,75.0,False,False,False,"Turret roof (small 75mm turret), 25.4mm (1.0in). Same Hunnicutt-derived sourcing. See counters/toe/vehicle_top_armor_1943.md."
Sherman M4A3 (76mm),Hull,Front,115.5,157.8,93.8,75.0,False,False,False,"welded hull, wet-stowage-era 64mm glacis"
Sherman M4A3 (76mm),Hull,Side,37.7,38.0,38.0,75.0,False,False,False,
Sherman M4A3 (76mm),Hull,Rear,37.9,39.1,38.6,75.0,False,False,False,
Sherman M4A3 (76mm),Turret,Front,93.6,116.6,66.3,75.0,False,False,True,"T23 turret, cast gun shield"
Sherman M4A3 (76mm),Turret,Side,50.8,51.0,51.0,75.0,False,False,False,
Sherman M4A3 (76mm),Turret,Rear,50.8,51.0,51.0,75.0,False,False,False,
Sherman M4A3 (76mm),Hull,Top,18.7,19.0,19.0,75.0,False,False,False,"Hull top, 19.1mm (0.75in). R.P. Hunnicutt's Sherman appendix data (via theshermantank.com), sourced from the later HVSS M4A3(76)W spec sheet -- this project's roster vehicle is the earlier VVSS sub-variant; suspension shouldn't affect hull/turret roof armor, but this figure isn't independently confirmed for the exact 1943 VVSS sub-variant. See counters/toe/vehicle_top_armor_1943.md."
Sherman M4A3 (76mm),Turret,Top,24.7,25.0,25.0,75.0,False,False,False,"Turret roof (T23 turret), 25.4mm (1.0in), consistently reported across secondary aggregators too. See counters/toe/vehicle_top_armor_1943.md."
Sdkfz 251 half-track,Hull,Front,14.3,15.5,15.0,75.0,False,False,False,"open-top, no turret"
Sdkfz 251 half-track,Hull,Side,7.8,8.0,8.0,75.0,False,False,False,
Sdkfz 251 half-track,Hull,Rear,7.8,8.0,8.0,75.0,False,False,False,
T-70 light tank,Hull,Front,44.0,69.3,54.5,75.0,False,False,False,
T-70 light tank,Hull,Side,8.3,8.4,15.0,75.0,False,False,False,
T-70 light tank,Hull,Rear,8.3,8.4,15.0,75.0,False,False,False,
T-70 light tank,Turret,Front,30.5,41.9,35.5,75.0,False,False,True,
T-70 light tank,Turret,Side,8.3,8.4,15.0,75.0,False,False,False,
T-70 light tank,Turret,Rear,8.3,8.4,15.0,75.0,False,False,False,
T-70 light tank,Hull,Top,4.9,5.0,10.0,75.0,False,False,False,"Hull roof and bottom, undifferentiated by the source = 10mm (Wikipedia, widely repeated across independent secondary tank-wiki sources, likely tracing to Zaloga & Grandsen 1984, but the specific sentence carries no inline citation in Wikipedia itself). Turret roof intentionally NOT modeled: never reported separately from the hull figure in any source found. See counters/toe/vehicle_top_armor_1943.md."
Panther Ausf G,Hull,Front,229.1,299.6,156.1,75.0,False,False,False,"Isigny-measured actual glacis (85mm@57deg), not nominal 80mm@55deg, per Ch.6's own recommendation. Slope-only cross-validated against source's own parallel 76mm-vs-glacis calc (236-248mm). Medium flaw multiplier applied (Ch.6) -- cross-validated against two of the chapter's own Panther-glacis worked examples (152mm APBC and 17pdr APCBC, both within ~1%). 'Medium' chosen as representative since source suggests ~50% of production had some flaw severity, ranging small-large; not a claim every glacis is exactly medium-flawed."
Panther Ausf G,Hull,Side,59.3,67.8,57.7,75.0,False,False,False,Ausf G figure per Appendix 5 (Ausf A/D used 40mm@40deg instead)
Panther Ausf G,Hull,Rear,46.7,54.2,46.2,75.0,False,False,False,"SOURCED, found this session: Ch.14 'Armor Data for Selected Vehicles' (printed p.66), never previously read -- Appendix 5 doesn't cover rear-hull data but Ch.14 does. Table gives Hull Rear = 40mm@30deg, identical across Panther D/A/G -- confirms the figure already in use exactly, upgraded from external-knowledge to project-source-cited."
Panther Ausf G,Turret,Front,249.2,94.6,100.0,75.0,False,False,False,"Ch.11 Panther-mantlet angle-probability distribution (65-75:20%, 50-60:31.2%, 35-45:24.8%, 20-30:14.4%, 0-15:9.6%), weighted-averaged against 100mm apex thickness (cast) -- methodology is this session's own construction applied to sourced data, NOT a source-provided combined-resistance table the way Tiger's Ch.10 table was. Medium confidence -- flagged for independent check. NEW FINDING (Ch.14, printed p.66, found this session): the table lists 'Mantlet: 100c rounded' AND, as a SEPARATE row, 'Turret Front: 110c @ 10' for Panther G -- possibly indicating an additional turret front plate behind/around the mantlet casting, similar in concept to Tiger's separate 'turret front bar' behind its mantlet (Ch.10). This AV figure (249.2mm) only ever accounted for the mantlet itself -- if a genuinely separate 110mm@10deg turret front plate also exists, this figure may be UNDERSTATED. Not chased down this session -- flagged for a dedicated follow-up, not guessed at."
Panther Ausf G,Turret,Side,42.6,45.1,49.7,75.0,False,False,False,"SOURCED, found this session: Ch.14 (printed p.66) gives Turret Side = 45mm@25deg, identical across Panther D/A/G -- confirms the figure already in use exactly, upgraded from external-knowledge to project-source-cited."
Panther Ausf G,Turret,Rear,44.2,49.3,51.0,75.0,False,False,False,"CORRECTED this session: Ch.14 (printed p.66) gives Turret Rear = 45mm@28deg specifically (distinct from Turret Side's 25deg) -- the figure previously in use (25deg, copied from Turret Side on the assumption they matched) is revised to the sourced 28deg value. AV-vs-Capped moves from 42.6mm to 44.2mm, a real but modest ~3.7% change."
Panther Ausf G,Hull,Top,15.8,16.0,16.0,75.0,False,False,False,"Hull roof (majority/engine-deck area) = 16mm, per Wikipedia's Panther article citing 'Doyle' (no page number recovered). A narrow ~30cm-wide strip at the front of the hull roof (over the driver) was separately thickened to 40mm on Ausf G specifically (dated British wartime technical-intelligence report, RG 24 C 2, via Tank Archives) -- not modeled here since this project's per-hex plate model doesn't support a partial-width plate; using the 16mm majority figure understates protection for that narrow strip only. See counters/toe/vehicle_top_armor_1943.md."
Panther Ausf G,Turret,Top,12.8,13.0,16.0,75.0,False,False,False,"Turret roof = 16mm, same across Ausf D/A/G (panzerworld.com). The popular claim that Panther's turret roof was thickened to 30-40mm is NOT confirmed for the actual mobile tank -- that figure traces to the unbuilt Panther II project and the static 'Pantherturm' bunker emplacement, neither of which is this vehicle. See counters/toe/vehicle_top_armor_1943.md."
Churchill Mk VII,Hull,Front,153.1,152.0,152.0,75.0,False,False,False,"Uppermost of a 3-plate stepped glacis; the middle (57mm) and lower (140mm) plates have sourced thicknesses but no exact angle was found (only 'nearly horizontal'/'lower angled piece' qualitative descriptions) -- using the well-cited, fully-vertical 152mm plate as the single Hull Front representative value understates whatever slope the lower plates genuinely have. Rolled homogeneous, spec 'IT 80' (Fletcher, per Wikipedia). Source: counters/toe/british_vehicles_1943.md. Wikipedia's own text is explicit that this hull was 'not sloped, reducing its effectiveness' -- near-0deg is a real design characteristic, not a research gap, for this specific plate."
Churchill Mk VII,Hull,Side,95.2,95.0,95.0,75.0,False,False,False,"Vertical, boxy hull over track panniers. Rolled, IT 80. Source: counters/toe/british_vehicles_1943.md."
Churchill Mk VII,Hull,Rear,50.8,51.0,51.0,75.0,False,False,False,"Angle not directly stated in sources; treated as ~0deg consistent with the hull's documented not-sloped design. Rolled, IT 80. Source: counters/toe/british_vehicles_1943.md."
Churchill Mk VII,Turret,Front,157.6,156.5,152.0,75.0,False,False,False,"Cast as one piece for all 4 turret walls (IT 90), roof welded separately. Flat-plate approximation, no mantlet thickness map available -- same treatment already used for Panzer IV's turret front in this file. Likely undersells real protection if a proper mantlet-style weighted treatment (as done for Tiger/Panther) were built -- flagged as a follow-up, not attempted this session. Source: counters/toe/british_vehicles_1943.md."
Churchill Mk VII,Turret,Side,89.4,89.2,95.0,75.0,False,False,False,Same single casting as Turret Front/Rear. Source: counters/toe/british_vehicles_1943.md.
Churchill Mk VII,Turret,Rear,89.4,89.2,95.0,75.0,False,False,False,Same single casting as Turret Front/Side. Source: counters/toe/british_vehicles_1943.md.
Churchill Mk VII,Hull,Top,12.8,13.0,13.0,75.0,False,False,False,"Hull top, 13.3mm (0.525in) per Wikipedia's Churchill tank article verbatim -- reconfirmed this session, but the surrounding paragraph's citation (White 1983) is not directly inline-attached to this specific figure. See counters/toe/vehicle_top_armor_1943.md."
Churchill Mk VII,Turret,Top,16.2,16.4,20.0,75.0,False,False,False,"Turret roof, 20mm per Wikipedia's Churchill tank article verbatim -- same citation-strength caveat as Hull Top. Cast, matching this vehicle's single-casting turret. See counters/toe/vehicle_top_armor_1943.md."
Cromwell Mk IV,Hull,Front,63.9,64.0,64.0,75.0,False,False,False,"Well-established, direct citation (Fletcher & Harley 2006 p.12): 'vertical, explicitly NOT sloped like the Sherman glacis.' Rolled, riveted to frame (welded on 'W-suffix' vehicles). A documented 123-vehicle applique-upgraded variant (101mm total, welded hulls only) exists but is not modeled as a separate row here -- flagged as a candidate future addition, matching how this project treats other documented-but-unmodeled variants (e.g. the German Panzergrenadier SPW company, E.116). Source: counters/toe/british_vehicles_1943.md."
Cromwell Mk IV,Hull,Side,31.7,32.0,32.0,75.0,False,False,False,"Real source disagreement: commonly cited as 32mm, but ranges as wide as 29-44mm (and one source describes two spaced 14mm+29mm plates rather than one solid plate) appear across sources checked. Used the most commonly-cited single-plate figure; flagged as genuinely uncertain, not a settled value. Rolled, riveted. Source: counters/toe/british_vehicles_1943.md."
Cromwell Mk IV,Hull,Rear,31.7,32.0,32.0,75.0,False,False,False,Same disagreement/uncertainty as Hull Side -- one weak source gives 14-32mm instead. Source: counters/toe/british_vehicles_1943.md.
Cromwell Mk IV,Turret,Front,69.8,69.7,76.7,75.0,False,False,False,"Real source conflict: 76.7mm has a direct page citation (Fletcher & Harley 2006 p.12, infobox) and is used here; a separate, weakly-sourced Wikipedia-internal (commented-out, never published by its own editors) table gives 64mm instead, and several aggregator sites round to 76mm. Preferred the cited figure over the uncited one. Turret described as hexagonal with an internal mantlet -- flat-plate approximation, no mantlet treatment attempted. Source: counters/toe/british_vehicles_1943.md."
Cromwell Mk IV,Turret,Side,37.5,37.7,44.0,75.0,False,False,False,Commonly cited range ~44-51mm across sources; used the lower/more conservative bound. Flat hexagonal turret face. Source: counters/toe/british_vehicles_1943.md.
Cromwell Mk IV,Turret,Rear,37.5,37.7,44.0,75.0,False,False,False,Commonly cited ~44mm. Same single casting as Turret Side. Source: counters/toe/british_vehicles_1943.md.
