unit_id,nation,unit_type,year_bracket,face,quality,manpower_full,manpower_reduced,weapon1_name,weapon1_count,weapon1_practical_rpm_override,weapon2_name,weapon2_count,weapon2_practical_rpm_override,weapon3_name,weapon3_count,weapon3_practical_rpm_override,m_number,f_number,g_number,source,verify_status,notes
SOV_RIFSQ_B_1943.3_F,Soviet Union,Rifle Squad (Pattern B),1943.3,F,regular,9,5,DP-28,2,,Mosin-Nagant,5,,PPSh-41,2,,2,1,3,"Red Army shtat 04/551 (Dec 1942, as amended 1943); counters/toe/soviet_union_1943.md",PRELIMINARY,"New 2026-09-11 per counters/toe/soviet_union_1943.md: the second of two equally-common 1943 squad patterns documented in the source (2 of a platoon's 4 squads use each pattern) -- 2x DP-28 (two designated gunners instead of Pattern A's one gunner + one assistant), 2x PPSh-41 (leader + 1 rifleman), 5x Mosin-Nagant. The source's own prose breakdown ('4x Riflemen') doesn't cleanly reconcile to 9 men against its own stated weapon totals (2 DP-28 + 2 PPSh-41 + 5 rifles = 9); this row follows the source's explicit 'Totals' line as authoritative over its prose role-count, which reads as a minor transcription slip in the TOE doc rather than a real ambiguity. See counters/toe/soviet_union_1943.md."
SOV_RIFSQ_B_1943.3_R,Soviet Union,Rifle Squad (Pattern B) (reduced),1943.3,R,regular,9,5,Mosin-Nagant,5,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: both DP-28s and both PPSh-41s lost, matching the established squad rear-face pattern. 5 riflemen remain."
SOV_DP28_1943.3_F,Soviet Union,DP-28 LMG Team,1943.3,F,regular,3,2,DP-28,1,,,,,,,,0,2,2,STAVKA small arms manual,PRELIMINARY,"DP-28 bipod LMG team. Weapon counter. f_number corrected 3->2 per E.109 -- a bipod-mounted LMG team is F2 (Rule 6.6.2), not F3, which is reserved for a tripod HMG."
SOV_DP28_1943.3_R,Soviet Union,DP-28 LMG Team (reduced crew),1943.3,R,regular,3,2,DP-28,1,150,,,,,,,0,2,1,Derived from front face,PRELIMINARY,"Rear face: 2-man crew. Practical RPM reduced -- pan mag changes slower. f_number corrected 3->2 per E.109."
US_RIFSQ_1943.3_F,United States,Rifle Squad,1943.3,F,regular,12,6,M1918A2 BAR,1,,M1 Garand,10,,M1903 Springfield,1,,2,1,3,"War Dept T/O&E 7-17 (1 Apr 1942, in force through 1943); counters/toe/united_states_1943.md",PRELIMINARY,"New 2026-09-11. Standard US rifle squad, 1943: 1 BAR gunner, 10 M1-Garand-armed (squad leader, asst squad leader, asst BAR gunner, ammo bearer, and riflemen), 1 M1903-Springfield-armed grenadier (the Garand-compatible M7 grenade-launcher adapter was only adopted in 1943 and not yet reflected in this T/O&E's small-arms allocation, so the grenadier still carried the older bolt-action Springfield). No submachine gun in the standard 1943 squad. See counters/toe/united_states_1943.md."
US_RIFSQ_1943.3_R,United States,Rifle Squad (reduced),1943.3,R,regular,12,6,M1 Garand,6,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: BAR gunner and M1903 grenadier both lost. 6 Garand-armed riflemen remain."
UK_RIFSEC_1943.3_F,United Kingdom,Rifle Section,1943.3,F,regular,10,5,Bren,1,,Lee-Enfield,8,,Sten,1,,2,1,3,"War Office W.E. II/233/2 (30 Apr 1943); counters/toe/united_kingdom_1943.md",PRELIMINARY,"New 2026-09-11. Standard British rifle section, spring 1943 onward: Rifle Group (7, incl. the Sten-armed Corporal section commander and 6 Lee-Enfield riflemen) + Bren Group (3: Bren gunner, Bren No.2/loader on Lee-Enfield, and one of the 6 riflemen counted in the Rifle Group total also serves as 2iC). See counters/toe/united_kingdom_1943.md."
UK_RIFSEC_1943.3_R,United Kingdom,Rifle Section (reduced),1943.3,R,regular,10,5,Lee-Enfield,5,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: Bren and Sten both lost. 5 riflemen remain."
JPN_RIFSQ_1943.3_F,Japan,Rifle Squad,1943.3,F,regular,13,6,Type 96/99 LMG,1,,Arisaka Type 38/99,11,,,,,2,1,3,"US War Dept TM-E 30-480; CINCPAC-CINCPOA Bulletin 182-45; counters/toe/japan_1943.md",PRELIMINARY,"New 2026-09-11. Standard ('B' type company) Japanese rifle squad (buntai), established/paper strength: 1 NCO leader (pistol or Type 38 carbine, unmodeled -- resolves to omit) + 1 LMG gunner (Type 96 or Type 99) + 11 riflemen on Arisaka rifles (Type 38 or Type 99, both in concurrent use during 1943). Documented Pacific-garrison under-strength variants (as low as 7-man squads) are evidenced for 1944-45, not established/confirmed for 1943 specifically -- this row models the paper/established strength per the task's own scope. See counters/toe/japan_1943.md."
JPN_RIFSQ_1943.3_R,Japan,Rifle Squad (reduced),1943.3,R,regular,13,6,Arisaka Type 38/99,6,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: light machine gun lost. 6 riflemen remain."
US_MG_1919_1943.3_F,United States,Light Machine Gun Squad,1943.3,F,regular,5,2,M1919A4,1,,,,,,,,0,3,1,"Battleorder.org (T/O&E 7-17, 1942-43); counters/toe/united_states_1943.md",PRELIMINARY,"New 2026-09-11. One of 2 organic Light Machine Gun Squads in the company Weapons Platoon's Light Machine Gun Section (the .30-cal M1919A4 is organic to the rifle company itself in 1943, not a battalion-level attachment). Weapon counter -- does not count toward stacking. See counters/toe/united_states_1943.md."
US_MG_1919_1943.3_R,United States,Light Machine Gun Squad (reduced crew),1943.3,R,regular,5,2,M1919A4,1,100,,,,,,,0,3,1,Derived from front face,PRELIMINARY,"Rear face: 2-man crew. Reduced practical RPM -- barrel/ammo-belt handling slower, matching the same ~70% reduction pattern as GER_MG42's reduced face."
GER_PAK40_1943.3_F,Germany,PaK 40 Anti-tank Gun Team,1943.3,F,regular,6,6,,,,,,,,,,0,2,1,"counters/toe/pak40_1943.md; counters/toe/pak40_crew_quality_and_fielding_date_followup.md; counters/toe/pak40_sturmartillerie_panzerjager_book_1943.md; counters/toe/pak40_forczyk_kv1_book_1943.md; counters/armor_calc/data/guns.csv (pak40_75l46_apcbc/apcr)",PRELIMINARY,"New 2026-09-11 -- closes the printed-stat-block gap flagged for both towed guns in design notes E.123/E.127. No fire-line weapon slots: a towed AT gun's actual attack (PEN line + Gunnery Table vs. vehicles, HE rFP = round(calibre/20) vs. infantry, Rule 17.1a.3) is computed in armor_calc/by hand from Rule 18.8.4, not by this pipeline's RPM-based small-arms formula, which doesn't apply to a single flat-trajectory ordnance piece. Defence/Morale come from manpower_full=6 (crew size, sourced) and quality=regular. Four research passes now: two found nothing (E.130; E.135, Perrett's book turned out to be the wrong branch entirely). A fourth (Forczyk, Panzerjager vs KV-1, design note E.136) finally found real, on-topic, dated material -- but nuanced, not a clean answer either way. The Panzerjager branch was genuinely selective and 'considered an elite' at its 1935 founding, still 'a large proportion of veterans' in June 1941 (Forczyk p.45) -- but suffered a documented morale collapse against KV-1/T-34 that only partly recovered with PaK 40 arrivals in mid-1942 (p.47), plus catastrophic 1941-42 loss rates (45% of committed 3.7cm PaK guns, p.74-75) that would have replaced much of the original hand-picked cadre by 1943. quality=regular is KEPT, not upgraded to veteran, specifically because the new evidence argues against assuming 1943 crews retained the founding cadre's elite status -- see design note E.136 for the full reasoning; this is a considered decision informed by real evidence, not an unweighed default anymore. Crew size (6) gains a genuine internal source conflict to note: Forczyk's own prose (p.45, 'NCO commander + gun layer + loader + two ammunition handlers + driver') matches this project's existing role-counted 6 exactly, but the same book's own weapon-spec page states 'Crew: 8' for the PaK 40 specifically -- not resolved, flagged in the research file. m_number=0 and f_number=2 per Rule 17.1a.4/6.6.2 (deployed towed gun). g_number=1 set by analogy to this roster's tripod HMG teams (same crew-served-weapon-in-a-fixed-position shape) -- G# has no formula in this project (see infantry_calc/README.md) and no towed-gun-specific source was found; flagged as a designer default, not sourced. No reduced/rear face: Rule 17.1a describes no degraded-crew mechanic for a towed gun (unlike HMG/mortar teams' explicit slower-reload rear face), so none is modelled -- an open question, not a silent omission."
UK_6PDR_1943.3_F,United Kingdom,6pdr Anti-tank Gun Team,1943.3,F,regular,6,6,,,,,,,,,,0,2,1,"counters/toe/sixpdr_1943.md; counters/armor_calc/data/guns.csv (sixpdr_57l50_apcbc)",PRELIMINARY,"New 2026-09-11 -- same shape as GER_PAK40_1943.3_F, closing the same printed-stat-block gap (design notes E.123/E.127) for this roster's second towed gun. No fire-line weapon slots, same reasoning as the PaK 40 row: the gun's attack is resolved via armor_calc's PEN/Gunnery Table and Rule 18.8.4's flat HE formula, not this pipeline's small-arms rFP model. Defence/Morale come from manpower_full=6 (crew size, sourced independently and converging exactly with the PaK 40's own figure) and quality=regular -- an unsourced, explicitly-hedged inference (only an informal 'disciplined fire at Robaa Valley' impression, not a real training/morale assessment; see counters/toe/sixpdr_1943.md Open Questions). m_number=0 and f_number=2 per Rule 17.1a.4/6.6.2. g_number=1, same unsourced designer-default-by-analogy as the PaK 40 row. No reduced/rear face modelled, same open question as the PaK 40 row -- Rule 17.1a has no degraded-crew mechanic for either gun."
SOV_45MMAT_1943.3_F,Soviet Union,45mm Anti-tank Gun Team,1943.3,F,regular,6,6,,,,,,,,,,0,2,1,"counters/toe/soviet_45mm_at_1943.md; counters/armor_calc/data/guns.csv (t70_45l46_apbc, reused)",PRELIMINARY,"New 2026-09-11 -- same shape as GER_PAK40_1943.3_F/UK_6PDR_1943.3_F (design notes E.123/E.127/E.128), this roster's third towed AT gun stat block. No fire-line weapon slots, same reasoning as the other two rows. Crew size (6) is the LOWEST-confidence of the three towed guns' converging crew figures: not directly sourced for the 53-K itself, inferred only from the M-42 successor gun's uncited infobox crew figure and the Komsomolets tow tractor's troop-compartment capacity -- used for consistency with the other two guns, not because a period Soviet source states it directly (see counters/toe/soviet_45mm_at_1943.md Crew Size section). Quality=regular is the same unsourced, explicitly-hedged default as the other two rows -- no source rates 53-K crews at all, not even informally. m_number=0 and f_number=2 per Rule 17.1a.4/6.6.2. g_number=1, same unsourced designer-default-by-analogy as the other two rows. No reduced/rear face, same open question as the other two rows."
US_57MMAT_1943.3_F,United States,57mm Anti-tank Gun Team M1,1943.3,F,regular,6,6,,,,,,,,,,0,2,1,"counters/toe/us_57mm_at_1943.md; counters/armor_calc/data/guns.csv (usm1_57l50_ap, newly fitted this session)",PRELIMINARY,"New 2026-09-11 -- same shape as the other three towed-gun rows (design notes E.123/E.127/E.128), this roster's fourth. No fire-line weapon slots, same reasoning as the other rows. Crew size is genuinely the least settled of the four towed guns: three conflicting sourced/inferred figures exist (10, per the home-nation primary source FM 23-75's full 10-man squad including 3 ammo bearers and a driver; an informally-derived 6, this project's own reading of that same squad's gun-serving roles -- gunner+4 cannoneers+squad leader; and 5, per a Tank Archives comparison to the smaller 37mm gun it replaced). Uses 6 for consistency with this roster's other three towed guns, NOT because it is the best-sourced figure for this specific gun -- see counters/toe/us_57mm_at_1943.md Crew Size section for the full three-way disagreement, unresolved. Quality=regular is the same unsourced default as the other rows; unlike the 6pdr's Robaa Valley case, no action was found from which even an informal quality inference could be drawn (Sicily 1943 anecdote is a mobility complaint, not a fire-discipline demonstration). m_number=0 and f_number=2 per Rule 17.1a.4/6.6.2. g_number=1, same unsourced designer-default-by-analogy as the other rows. No reduced/rear face, same open question as the other rows."
UK_HOMEGUARD_1943.3_F,United Kingdom,Home Guard Squad,1943.3,F,militia,8,4,M1918A2 BAR,1,,P17 Enfield,7,,,,,2,1,2,"counters/toe/militia_tier_validation_1943.md",PRELIMINARY,"New 2026-09-12 -- exercises this project's Militia quality tier for the first time (previously defined in quality/tiers.py but never used by any roster row; militia's own multipliers are an uncalibrated extrapolation, see formulas.py comment). Militia classification is an EXPLICIT INFERENCE, not a sourced historian's classification -- no source found rates Home Guard quality directly; the classification rests on structural/doctrinal facts (units confined by doctrine to static local defense, not expected to join mobile field-army operations; a 1942 National Service Act provision allowing compulsory enrolment of men aged 42-51 to fill under-strength units) rather than a stated quality-tier claim. Squad size (8) and composition (a 3-man automatic-weapons group + a rifle/bomb-throwing group, per a 'battle platoon' of 3 such squads plus a small HQ) come from Wikipedia's own synthesis of MacKenzie 1995 (the standard academic monograph, not read directly this session) -- the source's own section-vs-platoon terminology is internally ambiguous and not resolved here. weapon1 (M1918A2 BAR): US Lend-Lease automatic rifles (25,000 supplied) were a real, sourced Home Guard weapon by 1943, alongside an unmodeled alternative (Lewis LMG, ~14,000 supplied) -- BAR chosen since it already has sourced RPM data in this roster (weapons.csv) and no Home-Guard-specific split between the two types was found. weapon2 (P17 Enfield): the US-supplied M1917 'P17' rifle (500,000 purchased) was Home Guard's standard rifle by 1943, distinct from the Lee-Enfield used by the Regular Army's own Rifle Section (UK_RIFSEC) -- added as a new weapons.csv row using the same generic bolt-action rifle RPM figures (20 cyclic/15 practical/600yd) already used identically for Kar98k/M1903 Springfield/Mosin-Nagant in this file, since no P17-specific rate-of-fire figure was sourced or expected to differ meaningfully from any other WWI-era bolt-action design. g_number=2 is one below this roster's usual full-squad baseline (G3 for every other Regular rifle squad) -- G# has no formula in this project (every row's value is designer-assigned, see infantry_calc/README.md), and no Home-Guard-specific close-assault/grenade-effectiveness source was found; one step down from the regular-squad baseline is this row's own inference from the Militia tier's lower training level, not a sourced figure. No historical validation data: the Home Guard never fought ground combat (the invasion it was raised against never came) -- its only combat record is anti-aircraft/coastal-gunnery, a different combat mode this project's infantry system doesn't model, so none is claimed here. See counters/toe/militia_tier_validation_1943.md for the full research pass, including two other candidates considered and not recommended (German Volkssturm -- the single most explicit quantified low-training claim found ('10-14 days'), but 13 months outside this project's 1943 window and no sub-battalion TOE found; Soviet opolcheniye -- 2 years outside the window AND the 'militia' designation itself was transitional, divisions redesignated as ordinary Rifle/Guards divisions within weeks to months, so no honestly-dated 1943 opolcheniye unit exists at all)."
UK_HOMEGUARD_1943.3_R,United Kingdom,Home Guard Squad (reduced),1943.3,R,militia,8,4,P17 Enfield,4,,,,,,,,2,1,1,Derived from front face,PRELIMINARY,"Rear face: automatic-weapons group lost (BAR and its 2 crew), matching this roster's established rear-face pattern (special weapon and its dedicated crew dropped, remaining riflemen counted). 4 riflemen remain. g_number reduced 2->1, matching the -1 front-to-rear G# step already used elsewhere in this roster (e.g. GER_GREN, UK_RIFSEC)."
